Source,Date,Mean
GCAG,06-12-2016,0.7895
GISTEMP,06-12-2016,0.81
GCAG,06-11-2016,0.7504
GISTEMP,06-11-2016,0.93
GCAG,06-10-2016,0.7292
GISTEMP,06-10-2016,0.89
GCAG,06-09-2016,0.8767
GISTEMP,06-09-2016,0.87
GCAG,06-08-2016,0.8998
GISTEMP,06-08-2016,0.98
GCAG,06-07-2016,0.8687
GISTEMP,06-07-2016,0.83
GCAG,06-06-2016,0.9006
GISTEMP,06-06-2016,0.76
GCAG,06-05-2016,0.8738
GISTEMP,06-05-2016,0.93
GCAG,06-04-2016,1.0733
GISTEMP,06-04-2016,1.09
GCAG,06-03-2016,1.2245
GISTEMP,06-03-2016,1.3
GCAG,06-02-2016,1.1921
GISTEMP,06-02-2016,1.35
GCAG,06-01-2016,1.0569
GISTEMP,06-01-2016,1.17
GCAG,06-12-2015,1.1219
GISTEMP,06-12-2015,1.11
GCAG,06-11-2015,0.9655
GISTEMP,06-11-2015,1.04
GCAG,06-10-2015,0.9913
GISTEMP,06-10-2015,1.06
GCAG,06-09-2015,0.926
GISTEMP,06-09-2015,0.81
GCAG,06-08-2015,0.8746
GISTEMP,06-08-2015,0.78
GCAG,06-07-2015,0.8072
GISTEMP,06-07-2015,0.71
GCAG,06-06-2015,0.8835
GISTEMP,06-06-2015,0.78
GCAG,06-05-2015,0.8584
GISTEMP,06-05-2015,0.78
GCAG,06-04-2015,0.7741
GISTEMP,06-04-2015,0.74
GCAG,06-03-2015,0.8969
GISTEMP,06-03-2015,0.9
GCAG,06-02-2015,0.8843
GISTEMP,06-02-2015,0.86
GCAG,06-01-2015,0.8141
GISTEMP,06-01-2015,0.81
GCAG,06-12-2014,0.8308
GISTEMP,06-12-2014,0.79
GCAG,06-11-2014,0.6895
GISTEMP,06-11-2014,0.67
GCAG,06-10-2014,0.7851
GISTEMP,06-10-2014,0.85
GCAG,06-09-2014,0.7872
GISTEMP,06-09-2014,0.9
GCAG,06-08-2014,0.7986
GISTEMP,06-08-2014,0.82
GCAG,06-07-2014,0.6988
GISTEMP,06-07-2014,0.57
GCAG,06-06-2014,0.7623
GISTEMP,06-06-2014,0.66
GCAG,06-05-2014,0.7938
GISTEMP,06-05-2014,0.87
GCAG,06-04-2014,0.8006
GISTEMP,06-04-2014,0.78
GCAG,06-03-2014,0.7695
GISTEMP,06-03-2014,0.77
GCAG,06-02-2014,0.48
GISTEMP,06-02-2014,0.51
GCAG,06-01-2014,0.6936
GISTEMP,06-01-2014,0.73
GCAG,06-12-2013,0.6981
GISTEMP,06-12-2013,0.67
GCAG,06-11-2013,0.8293
GISTEMP,06-11-2013,0.81
GCAG,06-10-2013,0.6787
GISTEMP,06-10-2013,0.69
GCAG,06-09-2013,0.6857
GISTEMP,06-09-2013,0.78
GCAG,06-08-2013,0.6605
GISTEMP,06-08-2013,0.66
GCAG,06-07-2013,0.6662
GISTEMP,06-07-2013,0.59
GCAG,06-06-2013,0.6838
GISTEMP,06-06-2013,0.65
GCAG,06-05-2013,0.7141
GISTEMP,06-05-2013,0.61
GCAG,06-04-2013,0.561
GISTEMP,06-04-2013,0.52
GCAG,06-03-2013,0.6139
GISTEMP,06-03-2013,0.66
GCAG,06-02-2013,0.6357
GISTEMP,06-02-2013,0.55
GCAG,06-01-2013,0.5873
GISTEMP,06-01-2013,0.68
GCAG,06-12-2012,0.4655
GISTEMP,06-12-2012,0.53
GCAG,06-11-2012,0.7087
GISTEMP,06-11-2012,0.75
GCAG,06-10-2012,0.7022
GISTEMP,06-10-2012,0.78
GCAG,06-09-2012,0.7266
GISTEMP,06-09-2012,0.76
GCAG,06-08-2012,0.6694
GISTEMP,06-08-2012,0.63
GCAG,06-07-2012,0.6884
GISTEMP,06-07-2012,0.57
GCAG,06-06-2012,0.7039
GISTEMP,06-06-2012,0.62
GCAG,06-05-2012,0.7221
GISTEMP,06-05-2012,0.76
GCAG,06-04-2012,0.7335
GISTEMP,06-04-2012,0.69
GCAG,06-03-2012,0.5218
GISTEMP,06-03-2012,0.58
GCAG,06-02-2012,0.4235
GISTEMP,06-02-2012,0.49
GCAG,06-01-2012,0.4228
GISTEMP,06-01-2012,0.46
GCAG,06-12-2011,0.5485
GISTEMP,06-12-2011,0.54
GCAG,06-11-2011,0.4857
GISTEMP,06-11-2011,0.56
GCAG,06-10-2011,0.6349
GISTEMP,06-10-2011,0.66
GCAG,06-09-2011,0.5998
GISTEMP,06-09-2011,0.56
GCAG,06-08-2011,0.616
GISTEMP,06-08-2011,0.73
GCAG,06-07-2011,0.6282
GISTEMP,06-07-2011,0.73
GCAG,06-06-2011,0.6465
GISTEMP,06-06-2011,0.59
GCAG,06-05-2011,0.5741
GISTEMP,06-05-2011,0.53
GCAG,06-04-2011,0.6522
GISTEMP,06-04-2011,0.65
GCAG,06-03-2011,0.5915
GISTEMP,06-03-2011,0.64
GCAG,06-02-2011,0.4976
GISTEMP,06-02-2011,0.53
GCAG,06-01-2011,0.4706
GISTEMP,06-01-2011,0.51
GCAG,06-12-2010,0.4894
GISTEMP,06-12-2010,0.49
GCAG,06-11-2010,0.7682
GISTEMP,06-11-2010,0.79
GCAG,06-10-2010,0.6268
GISTEMP,06-10-2010,0.71
GCAG,06-09-2010,0.5724
GISTEMP,06-09-2010,0.61
GCAG,06-08-2010,0.6595
GISTEMP,06-08-2010,0.65
GCAG,06-07-2010,0.7287
GISTEMP,06-07-2010,0.62
GCAG,06-06-2010,0.7339
GISTEMP,06-06-2010,0.64
GCAG,06-05-2010,0.7582
GISTEMP,06-05-2010,0.75
GCAG,06-04-2010,0.8287
GISTEMP,06-04-2010,0.87
GCAG,06-03-2010,0.847
GISTEMP,06-03-2010,0.92
GCAG,06-02-2010,0.708
GISTEMP,06-02-2010,0.78
GCAG,06-01-2010,0.6958
GISTEMP,06-01-2010,0.73
GCAG,06-12-2009,0.6176
GISTEMP,06-12-2009,0.65
GCAG,06-11-2009,0.6716
GISTEMP,06-11-2009,0.77
GCAG,06-10-2009,0.6418
GISTEMP,06-10-2009,0.64
GCAG,06-09-2009,0.7083
GISTEMP,06-09-2009,0.7
GCAG,06-08-2009,0.6998
GISTEMP,06-08-2009,0.66
GCAG,06-07-2009,0.6439
GISTEMP,06-07-2009,0.72
GCAG,06-06-2009,0.6741
GISTEMP,06-06-2009,0.65
GCAG,06-05-2009,0.5868
GISTEMP,06-05-2009,0.65
GCAG,06-04-2009,0.6539
GISTEMP,06-04-2009,0.61
GCAG,06-03-2009,0.5794
GISTEMP,06-03-2009,0.53
GCAG,06-02-2009,0.5679
GISTEMP,06-02-2009,0.53
GCAG,06-01-2009,0.5955
GISTEMP,06-01-2009,0.62
GCAG,06-12-2008,0.5635
GISTEMP,06-12-2008,0.54
GCAG,06-11-2008,0.6703
GISTEMP,06-11-2008,0.66
