Source,Date,Mean
GCAG,06-01-1924,-0.1275
GISTEMP,06-01-1924,-0.2157
GCAG,06-02-1924,-0.1255
GISTEMP,06-02-1924,-0.2207
GCAG,06-03-1924,-0.1017
GISTEMP,06-03-1924,0.0296
GCAG,06-04-1924,-0.2328
GISTEMP,06-04-1924,-0.2328
GCAG,06-05-1924,0.0404
GISTEMP,06-05-1924,-0.0814
GCAG,06-06-1924,-0.2658
GISTEMP,06-06-1924,-0.114
GCAG,06-07-1924,-0.2637
GISTEMP,06-07-1924,-0.2641
GCAG,06-08-1924,-0.1568
GISTEMP,06-08-1924,-0.48
GCAG,06-09-1924,-0.4506
GISTEMP,06-09-1924,-0.2762
GCAG,06-10-1924,-0.3427
GISTEMP,06-10-1924,-0.1436
GCAG,06-11-1924,-0.3258
GISTEMP,06-11-1924,-0.4014
GCAG,06-12-1924,0.0314
GISTEMP,06-12-1924,-0.2223
GCAG,06-01-1925,-0.1771
GISTEMP,06-01-1925,-0.401
GCAG,06-02-1925,-0.2678
GISTEMP,06-02-1925,-0.1695
GCAG,06-03-1925,-0.3576
GISTEMP,06-03-1925,-0.1286
GCAG,06-04-1925,-0.2739
GISTEMP,06-04-1925,-0.2276
GCAG,06-05-1925,-0.2729
GISTEMP,06-05-1925,0.0952
GCAG,06-06-1925,-0.1835
GISTEMP,06-06-1925,-0.3401
GCAG,06-07-1925,-0.0569
GISTEMP,06-07-1925,-0.3635
GCAG,06-08-1925,-0.1478
GISTEMP,06-08-1925,-0.4731
GCAG,06-09-1925,-0.3772
GISTEMP,06-09-1925,-0.1485
GCAG,06-10-1925,-0.0661
GISTEMP,06-10-1925,-0.1512
GCAG,06-11-1925,-0.193
GISTEMP,06-11-1925,-0.2209
GCAG,06-12-1925,-0.3963
GISTEMP,06-12-1925,-0.2825
GCAG,06-01-1926,-0.2425
GISTEMP,06-01-1926,-0.0148
GCAG,06-02-1926,-0.1207
GISTEMP,06-02-1926,-0.4367
GCAG,06-03-1926,-0.1225
GISTEMP,06-03-1926,-0.2288
GCAG,06-04-1926,-0.2715
GISTEMP,06-04-1926,-0.0782
GCAG,06-05-1926,-0.0141
GISTEMP,06-05-1926,-0.0291
GCAG,06-06-1926,-0.2935
GISTEMP,06-06-1926,-0.214
GCAG,06-07-1926,-0.1168
GISTEMP,06-07-1926,-0.0201
GCAG,06-08-1926,-0.2372
GISTEMP,06-08-1926,-0.1931
GCAG,06-09-1926,-0.3301
GISTEMP,06-09-1926,-0.3436
GCAG,06-10-1926,-0.0411
GISTEMP,06-10-1926,0.0405
GCAG,06-11-1926,-0.1726
GISTEMP,06-11-1926,-0.0113
GCAG,06-12-1926,-0.1064
GISTEMP,06-12-1926,-0.2574
GCAG,06-01-1927,-0.1053
